    401  '            10819.00'  'K O H' -8.096   6   -5.10409502D+01  3.13075909D+01 -7.16230329D+00  8.16847722D-01 -4.09775381D-02  7.07574264D-04 3 1 1 8 1 19 1
    402  '            10820.00'  'CaO H' -8.604   8    1.64987395D+04 -1.49170866D+04  5.77127118D+03 -1.23810467D+03  1.59045170D+02 -1.22312619D+01 5.21351609D-01 -9.50039181D-03 3 1 1 8 1 20 1
    403  '            10820.01'  'CaO H +' -2.834   6   -4.41987680D+01  2.99916444D+01 -7.43864326D+00  9.02200503D-01 -4.84585963D-02  9.30910173D-04 4 1 1 8 1 20 1 99 -1
    404  '            90920.00'  'CaF F' -11.551   5    5.22693267D+01 -2.45215295D+01  4.62422635D+00 -3.32731447D-01  9.10135557D-03 2 9 2 20 1
    405  '           171720.00'  'CaClCl' -9.207   5    3.16958825D+01 -1.65551145D+01  3.50522878D+00 -2.57276744D-01  7.17410605D-03 2 17 2 20 1
    406  '           203535.00'  'CaBrBr' -8.122   5    2.36496162D+01 -1.23073437D+01  2.82807734D+00 -2.08530744D-01  5.84015253D-03 2 20 1 35 2
    407  '           205353.00'  'CaI I' -6.705   5    2.14969058D+01 -1.09836478D+01  2.61437477D+00 -1.92954661D-01  5.40871666D-03 2 20 1 53 2
    408  '            80822.00'  'TiO O' -13.140   6   -3.52283563D+02  2.49065109D+02 -6.89244703D+01  9.48360275D+00 -6.43230882D-01  1.72962598D-02 2 8 2 22 1
    409  '            90922.00'  'TiF F' -13.599   8   -1.35395494D+04  1.26653547D+04 -5.05609146D+03  1.11701028D+03 -1.47498603D+02  1.16440784D+01 -5.08915085D-01  9.50086150D-03 2 9 2 22 1
    410  '           171722.00'  'TiClCl' -9.814   8   -1.32866441D+04  1.24395635D+04 -4.97115396D+03  1.09951859D+03 -1.45354871D+02  1.14871507D+01 -5.02548360D-01  9.39028494D-03 2 17 2 22 1
    411  '           223535.00'  'TiBrBr' -9.034   8   -1.32151037D+04  1.23670150D+04 -4.94130388D+03  1.09300732D+03 -1.44524129D+02  1.14244966D+01 -4.99946919D-01  9.34425610D-03 2 22 1 35 2
    412  '           225353.00'  'TiI I' -7.280   8   -1.32035017D+04  1.23547029D+04 -4.93595516D+03  1.09180363D+03 -1.44367385D+02  1.14125011D+01 -4.99443276D-01  9.33526505D-03 2 22 1 53 2
    413  '            80823.00'  'V O O' -12.814   6    1.16917846D+01  6.42244711D+00 -4.12833744D+00  8.34100884D-01 -6.61441276D-02  1.90198381D-03 2 8 2 23 1
    414  '            80824.00'  'CrO O' -9.978   6   -1.51044755D+00  1.53254734D+01 -6.39823181D+00  1.11869465D+00 -8.38048369D-02  2.33757066D-03 2 8 2 24 1
    415  '           261717.00'  'FeClCl' -8.229   7    3.41475740D+03 -2.64335140D+03  8.50856899D+02 -1.45497679D+02  1.39530296D+01 -7.11051492D-01 1.50387901D-02 2 17 2 26 1
    416  '           263535.00'  'FeBrBr' -7.021   7    3.19720434D+03 -2.50091614D+03  8.13329183D+02 -1.40393137D+02  1.35838317D+01 -6.98195620D-01 1.48907506D-02 2 26 1 35 2
    417  '            60735.00'  'BrC N' -11.475   6   -1.33161194D+02  9.63154226D+01 -2.67030214D+01  3.65913387D+00 -2.42942544D-01  6.36674540D-03 3 6 1 7 1 35 1
    418  '            10838.00'  'SrO H' -8.584   8    2.12764283D+04 -1.93930524D+04  7.56599129D+03 -1.63735564D+03  2.12262876D+02 -1.64813793D+01 7.09636501D-01 -1.30693711D-02 3 1 1 8 1 38 1
    419  '            10838.01'  'SrO H +' -3.194   6   -4.14226068D+01  2.72644301D+01 -6.53377508D+00  7.70259466D-01 -3.94170567D-02  6.91565797D-04 4 1 1 8 1 38 1 99 -1
    420  '            90938.00'  'SrF F' -11.224   5    4.33982113D+01 -2.03519960D+01  3.98963703D+00 -2.89200149D-01  7.96808895D-03 2 9 2 38 1
    421  '           171738.00'  'SrClCl' -9.074   5    2.93832489D+01 -1.35550222D+01  2.94176665D+00 -2.16321245D-01  6.04272343D-03 2 17 2 38 1
    422  '           353538.00'  'SrBrBr' -8.212   5    1.99951394D+01 -1.04748340D+01  2.53718470D+00 -1.87678770D-01  5.27192192D-03 2 35 2 38 1
    423  '            80840.00'  'ZrO O' -14.300   5    5.75078170D+01 -2.54185222D+01  4.47995275D+00 -3.01850853D-01  7.70473859D-03 2 8 2 40 1
    424  '            90940.00'  'ZrF F' -13.601   8   -1.36288946D+04  1.27359311D+04 -5.07926098D+03  1.12127577D+03 -1.47976044D+02  1.16764905D+01 -5.10148430D-01  9.52112492D-03 2 9 2 40 1
